Year,Rank,"Pos
Rank",Draft_Rank,Player,Round,Pick,Tm,Draft Year,Pos,Age,To,All_Pro,Pro_Bowl,Starter_years,Games_Played,Passing_Comp,Pass_att,Pass_yards,Pass_TD,Pass_Int,Rush_att,Rush_yards,Rush_TD,Rec_rec,Rec_yards,Rec_TD,College/Univ,Total Fantasy Points,Fantasy Points Per Game
2016,26,13,3.02,Alex Collins,5.0,171.0,SEA,2016.0,RB,22.0,2021.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,483.0,1997.0,18.0,59.0,467.0,1.0,Arkansas,389.90000000000003,7.798000000000001
2016,27,14,3.03,Keith Marshall,7.0,242.0,WAS,2016.0,RB,22.0,,0.0,0.0,0.0,,,,,,,,,,,,,Georgia,,
2016,28,2,3.04,Austin Hooper,3.0,81.0,ATL,2016.0,TE,21.0,2023.0,0.0,2.0,3.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,3702.0,25.0,Stanford,702.2,5.755737704918033
2016,29,1,3.05,Carson Wentz,1.0,2.0,PHI,2016.0,QB,23.0,2023.0,0.0,1.0,6.0,95.0,2073.0,3308.0,22292.0,153.0,67.0,354.0,1418.0,11.0,2.0,11.0,0.0,North Dakota St.,3223.1000000000004,33.927368421052634
2016,30,15,3.06,Tyler Ervin,4.0,119.0,HOU,2016.0,RB,22.0,2020.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,19.0,92.0,0.0,27.0,186.0,0.0,San Jose St.,41.300000000000004,0.9604651162790698
2016,31,2,3.07,Jared Goff,1.0,1.0,LAR,2016.0,QB,21.0,2023.0,0.0,3.0,6.0,117.0,2657.0,4107.0,30429.0,185.0,82.0,241.0,495.0,12.0,1.0,5.0,0.0,California,4111.4,35.14017094017094
2016,32,16,3.08,Kelvin Taylor,6.0,211.0,SFO,2016.0,RB,22.0,,0.0,0.0,0.0,,,,,,,,,,,,,Florida,,
2016,33,17,3.09,Daniel Lasco,7.0,237.0,NOR,2016.0,RB,23.0,2017.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,2.0,11.0,0.0,California,5.300000000000001,0.53
2016,34,13,3.1,Daniel Braverman,7.0,230.0,CHI,2016.0,WR,22.0,2016.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Western Michigan,0.0,0.0
2016,35,14,3.11,Mike Thomas,6.0,206.0,LAR,2016.0,WR,22.0,2022.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,30.0,366.0,1.0,Southern Miss,57.7,0.7592105263157896
2016,36,3,3.12,Paxton Lynch,1.0,26.0,DEN,2016.0,QB,22.0,2017.0,0.0,0.0,0.0,5.0,79.0,128.0,792.0,4.0,4.0,16.0,55.0,0.0,0.0,0.0,0.0,Memphis,100.7,20.14
2016,37,15,4.01,Demarcus Robinson,4.0,126.0,KAN,2016.0,WR,21.0,2023.0,0.0,0.0,2.0,130.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,219.0,2508.0,20.0,Florida,482.6,3.7123076923076925
2016,38,16,4.02,Chris Moore,4.0,107.0,BAL,2016.0,WR,23.0,2023.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,16.0,69.0,0.0,138.0,1710.0,8.0,Cincinnati,294.9,2.782075471698113
2016,39,17,4.03,Rashard Higgins,5.0,172.0,CLE,2016.0,WR,21.0,2022.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,137.0,1890.0,12.0,Colorado St.,329.9,3.881176470588235
