Draft_Rank,Total Fantasy Points,Predicted Fantasy Points
3.01,33.7,408.6783919271832
3.02,58.2,407.7364491815947
3.03,93.5,406.79450643600626
3.04,46.5,405.8525636904178
3.05,14.8,404.91062094482936
3.07,1.9,403.0267354536524
3.09,246.0,401.14284996247545
3.1,22.5,400.20090721688695
3.11,1.2000000000000002,399.2589644712985
4.01,2.9000000000000004,314.4841173683363
4.02,9.6,313.54217462274784
4.03,11.5,312.60023187715933
4.04,232.5,311.6582891315708
4.05,38.900000000000006,310.7163463859824
4.06,10.0,309.7744036403939
4.07,0.0,308.8324608948054
4.09,84.7,306.9485754036285
4.1,11.2,306.0066326580401
4.11,17.9,305.0646899124515
4.12,29.4,304.12274716686306
5.01,63.0,220.28984280948936
5.02,54.6,219.3479000639009
